combo,replication,week,price,sales,remain_invent
19,1,7,60,116,1188.0
19,1,8,60,131,1057.0
19,1,9,60,153,904.0
19,1,10,60,106,798.0
19,1,11,60,146,652.0
19,1,12,60,113,539.0
19,1,13,36,366,173.0
19,1,14,36,173,0.0
19,1,15,36,0,0.0
19,1,16,107064,115410,0.0723160904600987
20,0,1,60,131,1869.0
20,0,2,60,132,1737.0
20,0,3,60,151,1586.0
20,0,4,60,141,1445.0
20,0,5,60,136,1309.0
20,0,6,60,119,1190.0
20,0,7,60,185,1005.0
20,0,8,60,171,834.0
20,0,9,60,139,695.0
20,0,10,60,151,544.0
20,0,11,60,77,467.0
20,0,12,54,254,213.0
20,0,13,54,141,72.0
20,0,14,54,72,0.0
20,0,15,54,0,0.0
20,0,16,117198,120000,0.0233499999999999
20,1,1,60,123,1877.0
20,1,2,60,95,1782.0
20,1,3,60,135,1647.0
20,1,4,60,148,1499.0
20,1,5,60,57,1442.0
20,1,6,60,121,1321.0
20,1,7,60,123,1198.0
20,1,8,60,161,1037.0
20,1,9,60,98,939.0
20,1,10,60,61,878.0
20,1,11,60,91,787.0
20,1,12,54,155,632.0
20,1,13,54,154,478.0
20,1,14,54,148,330.0
20,1,15,54,142,188.0
20,1,16,105126,111348,0.0558788662571397
21,0,1,60,79,1921.0
21,0,2,60,55,1866.0
21,0,3,60,49,1817.0
21,0,4,60,98,1719.0
21,0,5,60,108,1611.0
21,0,6,60,98,1513.0
21,0,7,60,73,1440.0
21,0,8,60,83,1357.0
21,0,9,60,48,1309.0
21,0,10,60,49,1260.0
21,0,11,60,55,1205.0
21,0,12,54,69,1136.0
21,0,13,54,110,1026.0
21,0,14,54,111,915.0
21,0,15,48,154,761.0
21,0,16,70752,92400,0.2342857142857143
21,1,1,60,88,1912.0
21,1,2,60,125,1787.0
21,1,3,60,110,1677.0
21,1,4,60,103,1574.0
21,1,5,60,84,1490.0
21,1,6,60,117,1373.0
21,1,7,60,84,1289.0
21,1,8,60,93,1196.0
21,1,9,60,38,1158.0
21,1,10,60,95,1063.0
21,1,11,60,69,994.0
21,1,12,54,93,901.0
21,1,13,54,128,773.0
21,1,14,54,130,643.0
21,1,15,48,227,416.0
21,1,16,90210,103674,0.1298686266566352
22,0,1,60,93,1907.0
22,0,2,60,127,1780.0
22,0,3,60,91,1689.0
22,0,4,60,114,1575.0
22,0,5,60,56,1519.0
22,0,6,60,104,1415.0
22,0,7,60,59,1356.0
22,0,8,60,116,1240.0
22,0,9,60,70,1170.0
22,0,10,60,71,1099.0
22,0,11,60,119,980.0
22,0,12,54,95,885.0
22,0,13,54,82,803.0
